"R_growth_cyano","R_growth_green","R_growth_diatom","w_p_cyano","w_p_green","w_p_diatom","deviation","datetime","variable","prediction"
3,2,3,0.2,-0.13,-0.15,0,2019-01-26,"PHY_tchla_1.6",13.1629625941042
3,2,3,0.2,-0.13,-0.15,0,2019-01-27,"PHY_tchla_1.6",12.7887652545054
3,2,3,0.2,-0.13,-0.15,0,2019-01-28,"PHY_tchla_1.6",11.894830544828
3,2,3,0.2,-0.13,-0.15,0,2019-01-29,"PHY_tchla_1.6",12.8592129329704
3,2,3,0.2,-0.13,-0.15,0,2019-01-30,"PHY_tchla_1.6",12.6828482926344
3,2,3,0.2,-0.13,-0.15,0,2019-01-31,"PHY_tchla_1.6",12.3799359694136
3,2,3,0.2,-0.13,-0.15,0,2019-02-01,"PHY_tchla_1.6",11.5429566071093
3,2,3,0.2,-0.13,-0.15,0,2019-02-02,"PHY_tchla_1.6",10.3070200969389
3,2,3,0.2,-0.13,-0.15,0,2019-02-03,"PHY_tchla_1.6",12.1054468469328
3,2,3,0.2,-0.13,-0.15,0,2019-02-04,"PHY_tchla_1.6",12.2767442156437
3,2,3,0.2,-0.13,-0.15,0,2019-02-05,"PHY_tchla_1.6",12.4075831167214
3,2,3,0.2,-0.13,-0.15,0,2019-02-06,"PHY_tchla_1.6",12.4651113564151
3,2,3,0.2,-0.13,-0.15,0,2019-02-07,"PHY_tchla_1.6",11.9677167012781
3,2,3,0.2,-0.13,-0.15,0,2019-02-08,"PHY_tchla_1.6",11.1646310770754
3,2,3,0.2,-0.13,-0.15,0,2019-02-09,"PHY_tchla_1.6",12.5634305341281
3,2,3,0.2,-0.13,-0.15,0,2019-02-10,"PHY_tchla_1.6",12.2088727886143
3,2,3,0.2,-0.13,-0.15,0,2019-02-11,"PHY_tchla_1.6",12.0438524488324
3,2,3,0.2,-0.13,-0.15,0,2019-02-12,"PHY_tchla_1.6",12.1389917042601
3,2,3,0.2,-0.13,-0.15,0,2019-02-13,"PHY_tchla_1.6",11.6621118650026
3,2,3,0.2,-0.13,-0.15,0,2019-02-14,"PHY_tchla_1.6",11.0934226803759
3,2,3,0.2,-0.13,-0.15,0,2019-02-15,"PHY_tchla_1.6",11.0706187797483
3,2,3,0.2,-0.13,-0.15,0,2019-02-16,"PHY_tchla_1.6",11.1773753290384
3,2,3,0.2,-0.13,-0.15,0,2019-02-17,"PHY_tchla_1.6",11.0897229799822
3,2,3,0.2,-0.13,-0.15,0,2019-02-18,"PHY_tchla_1.6",10.8461795583075
3,2,3,0.2,-0.13,-0.15,0,2019-02-19,"PHY_tchla_1.6",10.638152056484
3,2,3,0.2,-0.13,-0.15,0,2019-02-20,"PHY_tchla_1.6",10.7161951954661
3,2,3,0.2,-0.13,-0.15,0,2019-02-21,"PHY_tchla_1.6",10.5500634310307
3,2,3,0.2,-0.13,-0.15,0,2019-02-22,"PHY_tchla_1.6",10.3830562520819
3,2,3,0.2,-0.13,-0.15,0,2019-02-23,"PHY_tchla_1.6",10.2401029552627
3,2,3,0.2,-0.13,-0.15,0,2019-02-24,"PHY_tchla_1.6",9.96232887725515
3,2,3,0.2,-0.13,-0.15,0,2019-02-25,"PHY_tchla_1.6",9.73595611177345
3,2,3,0.2,-0.13,-0.15,0,2019-02-26,"PHY_tchla_1.6",9.63919348288557
3,2,3,0.2,-0.13,-0.15,0,2019-02-27,"PHY_tchla_1.6",9.91271282833094
3,2,3,0.2,-0.13,-0.15,0,2019-02-28,"PHY_tchla_1.6",10.0617483233278
3,2,3,0.2,-0.13,-0.15,0,2019-03-01,"PHY_tchla_1.6",10.1658422316498
3,2,3,0.2,-0.13,-0.15,0,2019-03-02,"PHY_tchla_1.6",10.0590018773521
3,2,3,0.2,-0.13,-0.15,0,2019-03-03,"PHY_tchla_1.6",9.96041310721924
3,2,3,0.2,-0.13,-0.15,0,2019-03-04,"PHY_tchla_1.6",9.79590570953147
3,2,3,0.2,-0.13,-0.15,0,2019-03-05,"PHY_tchla_1.6",9.43559759289354
3,2,3,0.2,-0.13,-0.15,0,2019-03-06,"PHY_tchla_1.6",9.74851432263468
3,2,3,0.2,-0.13,-0.15,0,2019-03-07,"PHY_tchla_1.6",9.49691842323295
3,2,3,0.2,-0.13,-0.15,0,2019-03-08,"PHY_tchla_1.6",9.66203812798942
3,2,3,0.2,-0.13,-0.15,0,2019-03-09,"PHY_tchla_1.6",9.58106614992007
3,2,3,0.2,-0.13,-0.15,0,2019-03-10,"PHY_tchla_1.6",9.28513806049963
3,2,3,0.2,-0.13,-0.15,0,2019-03-11,"PHY_tchla_1.6",9.59186822476624
3,2,3,0.2,-0.13,-0.15,0,2019-03-12,"PHY_tchla_1.6",9.61018809982567
3,2,3,0.2,-0.13,-0.15,0,2019-03-13,"PHY_tchla_1.6",9.4947527185817
3,2,3,0.2,-0.13,-0.15,0,2019-03-14,"PHY_tchla_1.6",9.70981302258506
3,2,3,0.2,-0.13,-0.15,0,2019-03-15,"PHY_tchla_1.6",9.91193015273168
3,2,3,0.2,-0.13,-0.15,0,2019-03-16,"PHY_tchla_1.6",10.4872218066993
3,2,3,0.2,-0.13,-0.15,0,2019-03-17,"PHY_tchla_1.6",10.1384067301798
3,2,3,0.2,-0.13,-0.15,0,2019-03-18,"PHY_tchla_1.6",10.4083813284588
3,2,3,0.2,-0.13,-0.15,0,2019-03-19,"PHY_tchla_1.6",10.0158859284784
3,2,3,0.2,-0.13,-0.15,0,2019-03-20,"PHY_tchla_1.6",10.3408456566047
3,2,3,0.2,-0.13,-0.15,0,2019-03-21,"PHY_tchla_1.6",10.5642752145838
3,2,3,0.2,-0.13,-0.15,0,2019-03-22,"PHY_tchla_1.6",10.5094225615449
3,2,3,0.2,-0.13,-0.15,0,2019-03-23,"PHY_tchla_1.6",10.3327721625366
3,2,3,0.2,-0.13,-0.15,0,2019-03-24,"PHY_tchla_1.6",10.2067317130468
3,2,3,0.2,-0.13,-0.15,0,2019-03-25,"PHY_tchla_1.6",10.5028311743291
3,2,3,0.2,-0.13,-0.15,0,2019-03-26,"PHY_tchla_1.6",10.8782698893907
3,2,3,0.2,-0.13,-0.15,0,2019-03-27,"PHY_tchla_1.6",10.5299450120048
3,2,3,0.2,-0.13,-0.15,0,2019-03-28,"PHY_tchla_1.6",10.7734677133645
3,2,3,0.2,-0.13,-0.15,0,2019-03-29,"PHY_tchla_1.6",10.8355813468942
3,2,3,0.2,-0.13,-0.15,0,2019-03-30,"PHY_tchla_1.6",10.2534655318965
3,2,3,0.2,-0.13,-0.15,0,2019-03-31,"PHY_tchla_1.6",11.0914723693012
3,2,3,0.2,-0.13,-0.15,0,2019-04-01,"PHY_tchla_1.6",10.8760730053392
3,2,3,0.2,-0.13,-0.15,0,2019-04-02,"PHY_tchla_1.6",10.8189338002874
3,2,3,0.2,-0.13,-0.15,0,2019-04-03,"PHY_tchla_1.6",10.5408736712495
3,2,3,0.2,-0.13,-0.15,0,2019-04-04,"PHY_tchla_1.6",10.2230503815072
3,2,3,0.2,-0.13,-0.15,0,2019-04-05,"PHY_tchla_1.6",10.0074491833643
3,2,3,0.2,-0.13,-0.15,0,2019-04-06,"PHY_tchla_1.6",11.1596278340326
3,2,3,0.2,-0.13,-0.15,0,2019-04-07,"PHY_tchla_1.6",10.3531740285498
3,2,3,0.2,-0.13,-0.15,0,2019-04-08,"PHY_tchla_1.6",8.72723581354941
3,2,3,0.2,-0.13,-0.15,0,2019-04-09,"PHY_tchla_1.6",8.1367696858747
3,2,3,0.2,-0.13,-0.15,0,2019-04-10,"PHY_tchla_1.6",6.45862615558122
3,2,3,0.2,-0.13,-0.15,0,2019-04-11,"PHY_tchla_1.6",6.3302145604051
3,2,3,0.2,-0.13,-0.15,0,2019-04-12,"PHY_tchla_1.6",7.32527152926153
3,2,3,0.2,-0.13,-0.15,0,2019-04-13,"PHY_tchla_1.6",12.6908415235763
3,2,3,0.2,-0.13,-0.15,0,2019-04-14,"PHY_tchla_1.6",12.6343414009929
3,2,3,0.2,-0.13,-0.15,0,2019-04-15,"PHY_tchla_1.6",11.218071888532
3,2,3,0.2,-0.13,-0.15,0,2019-04-16,"PHY_tchla_1.6",10.5756373067252
3,2,3,0.2,-0.13,-0.15,0,2019-04-17,"PHY_tchla_1.6",10.0690285001461
3,2,3,0.2,-0.13,-0.15,0,2019-04-18,"PHY_tchla_1.6",9.60578915440393
3,2,3,0.2,-0.13,-0.15,0,2019-04-19,"PHY_tchla_1.6",11.2590784728855
3,2,3,0.2,-0.13,-0.15,0,2019-04-20,"PHY_tchla_1.6",11.2608290586748
3,2,3,0.2,-0.13,-0.15,0,2019-04-21,"PHY_tchla_1.6",10.5828111458854
3,2,3,0.2,-0.13,-0.15,0,2019-04-22,"PHY_tchla_1.6",10.7819388429017
3,2,3,0.2,-0.13,-0.15,0,2019-04-23,"PHY_tchla_1.6",9.93263075285706
3,2,3,0.2,-0.13,-0.15,0,2019-04-24,"PHY_tchla_1.6",10.8326217955692
3,2,3,0.2,-0.13,-0.15,0,2019-04-25,"PHY_tchla_1.6",10.1726698841572
3,2,3,0.2,-0.13,-0.15,0,2019-04-26,"PHY_tchla_1.6",9.24463049578464
3,2,3,0.2,-0.13,-0.15,0,2019-04-27,"PHY_tchla_1.6",13.821516178005
3,2,3,0.2,-0.13,-0.15,0,2019-04-28,"PHY_tchla_1.6",12.7446625693192
3,2,3,0.2,-0.13,-0.15,0,2019-04-29,"PHY_tchla_1.6",13.1800436992845
3,2,3,0.2,-0.13,-0.15,0,2019-04-30,"PHY_tchla_1.6",13.1771761416916
3,2,3,0.2,-0.13,-0.15,0,2019-05-01,"PHY_tchla_1.6",11.794819562626
3,2,3,0.2,-0.13,-0.15,0,2019-05-02,"PHY_tchla_1.6",9.42599948804636
3,2,3,0.2,-0.13,-0.15,0,2019-05-03,"PHY_tchla_1.6",6.57279356929454
3,2,3,0.2,-0.13,-0.15,0,2019-05-04,"PHY_tchla_1.6",4.19805111167163
3,2,3,0.2,-0.13,-0.15,0,2019-05-05,"PHY_tchla_1.6",2.63047100039198
3,2,3,0.2,-0.13,-0.15,0,2019-05-06,"PHY_tchla_1.6",1.9087036098959
3,2,3,0.2,-0.13,-0.15,0,2019-05-07,"PHY_tchla_1.6",9.98965513156882
3,2,3,0.2,-0.13,-0.15,0,2019-05-08,"PHY_tchla_1.6",8.90435228965895
3,2,3,0.2,-0.13,-0.15,0,2019-05-09,"PHY_tchla_1.6",5.85841988346008
3,2,3,0.2,-0.13,-0.15,0,2019-05-10,"PHY_tchla_1.6",2.69600732302901
3,2,3,0.2,-0.13,-0.15,0,2019-05-11,"PHY_tchla_1.6",6.64389020863803
3,2,3,0.2,-0.13,-0.15,0,2019-05-12,"PHY_tchla_1.6",9.79873695001029
3,2,3,0.2,-0.13,-0.15,0,2019-05-13,"PHY_tchla_1.6",7.44228854843472
3,2,3,0.2,-0.13,-0.15,0,2019-05-14,"PHY_tchla_1.6",12.4573788393399
3,2,3,0.2,-0.13,-0.15,0,2019-05-15,"PHY_tchla_1.6",11.8930598248623
3,2,3,0.2,-0.13,-0.15,0,2019-05-16,"PHY_tchla_1.6",12.1438043641525
3,2,3,0.2,-0.13,-0.15,0,2019-05-17,"PHY_tchla_1.6",12.4764516256123
3,2,3,0.2,-0.13,-0.15,0,2019-05-18,"PHY_tchla_1.6",13.2790701703438
3,2,3,0.2,-0.13,-0.15,0,2019-05-19,"PHY_tchla_1.6",10.5182376870786
